"?OLSKO LETO";"STATISTI?NA REGIJA ZAVODA";"VRSTA ZAVODA (LASTNINA)";"Udele?enci pred?olske glasbene vzgoje";"Udele?enci glasbene pripravnice";"Udele?enci plesne pripravnice";"Udele?enci programa Glasba";"Udele?enci programa Ples"
"2016/17";"Pomurska";"Javna glasbena ?ola";7;19;33;826;69
"2016/17";"Pomurska";"Zasebna glasbena ?ola";1;1;-;82;-
"2016/17";"Podravska";"Javna glasbena ?ola";34;206;208;1993;261
"2016/17";"Podravska";"Zasebna glasbena ?ola";2;5;1;144;1
"2016/17";"Koro?ka";"Javna glasbena ?ola";9;51;15;604;13
"2016/17";"Koro?ka";"Zasebna glasbena ?ola";1;2;-;65;-
"2016/17";"Savinjska";"Javna glasbena ?ola";30;81;96;1463;76
"2016/17";"Savinjska";"Zasebna glasbena ?ola";-;-;-;-;-
"2016/17";"Zasavska";"Javna glasbena ?ola";35;63;117;712;147
"2016/17";"Zasavska";"Zasebna glasbena ?ola";-;-;-;-;-
"2016/17";"Posavska";"Javna glasbena ?ola";25;107;82;1247;123
"2016/17";"Posavska";"Zasebna glasbena ?ola";-;-;-;-;-
"2016/17";"Jugovzhodna Slovenija";"Javna glasbena ?ola";26;112;19;1590;7
"2016/17";"Jugovzhodna Slovenija";"Zasebna glasbena ?ola";-;-;-;-;-
"2016/17";"Osrednjeslovenska";"Javna glasbena ?ola";75;244;210;3835;325
"2016/17";"Osrednjeslovenska";"Zasebna glasbena ?ola";15;76;-;551;-
"2016/17";"Gorenjska";"Javna glasbena ?ola";78;122;103;1705;136
"2016/17";"Gorenjska";"Zasebna glasbena ?ola";-;1;-;174;-
"2016/17";"Primorsko-notranjska";"Javna glasbena ?ola";39;83;22;810;31
"2016/17";"Primorsko-notranjska";"Zasebna glasbena ?ola";-;-;-;-;-
"2016/17";"Gori?ka";"Javna glasbena ?ola";19;150;81;1303;89
"2016/17";"Gori?ka";"Zasebna glasbena ?ola";-;-;-;-;-
"2016/17";"Obalno-kra?ka";"Javna glasbena ?ola";58;178;7;1973;202
"2016/17";"Obalno-kra?ka";"Zasebna glasbena ?ola";-;-;-;-;-
"2017/18";"Pomurska";"Javna glasbena ?ola";10;41;73;842;128
"2017/18";"Pomurska";"Zasebna glasbena ?ola";1;-;-;80;-
"2017/18";"Podravska";"Javna glasbena ?ola";24;181;189;2028;258
"2017/18";"Podravska";"Zasebna glasbena ?ola";32;11;15;287;16
"2017/18";"Koro?ka";"Javna glasbena ?ola";6;48;19;602;16
"2017/18";"Koro?ka";"Zasebna glasbena ?ola";-;4;-;71;-
"2017/18";"Savinjska";"Javna glasbena ?ola";51;184;167;2774;143
"2017/18";"Savinjska";"Zasebna glasbena ?ola";-;-;-;-;-
"2017/18";"Zasavska";"Javna glasbena ?ola";38;63;132;720;154
"2017/18";"Zasavska";"Zasebna glasbena ?ola";-;-;-;-;-
"2017/18";"Posavska";"Javna glasbena ?ola";26;119;85;1233;137
"2017/18";"Posavska";"Zasebna glasbena ?ola";-;-;-;-;-
"2017/18";"Jugovzhodna Slovenija";"Javna glasbena ?ola";23;93;28;1604;7
"2017/18";"Jugovzhodna Slovenija";"Zasebna glasbena ?ola";-;-;-;-;-
"2017/18";"Osrednjeslovenska";"Javna glasbena ?ola";95;292;185;4234;316
"2017/18";"Osrednjeslovenska";"Zasebna glasbena ?ola";26;113;-;633;-
"2017/18";"Gorenjska";"Javna glasbena ?ola";39;98;108;1672;138
"2017/18";"Gorenjska";"Zasebna glasbena ?ola";-;2;-;83;-
"2017/18";"Primorsko-notranjska";"Javna glasbena ?ola";31;84;27;825;31
"2017/18";"Primorsko-notranjska";"Zasebna glasbena ?ola";-;-;-;-;-
"2017/18";"Gori?ka";"Javna glasbena ?ola";14;119;50;1310;77
"2017/18";"Gori?ka";"Zasebna glasbena ?ola";-;-;-;-;-
"2017/18";"Obalno-kra?ka";"Javna glasbena ?ola";62;134;-;2051;194
"2017/18";"Obalno-kra?ka";"Zasebna glasbena ?ola";-;-;-;-;-
"2018/19";"Pomurska";"Javna glasbena ?ola";11;44;59;839;107
"2018/19";"Pomurska";"Zasebna glasbena ?ola";1;2;-;82;-
"2018/19";"Podravska";"Javna glasbena ?ola";20;168;207;2199;264
"2018/19";"Podravska";"Zasebna glasbena ?ola";17;-;-;264;7
"2018/19";"Koro?ka";"Javna glasbena ?ola";5;58;13;596;22
"2018/19";"Koro?ka";"Zasebna glasbena ?ola";-;-;-;57;-
"2018/19";"Savinjska";"Javna glasbena ?ola";43;167;148;2803;154
"2018/19";"Savinjska";"Zasebna glasbena ?ola";-;-;-;-;-
"2018/19";"Zasavska";"Javna glasbena ?ola";34;60;122;737;174
"2018/19";"Zasavska";"Zasebna glasbena ?ola";-;-;-;-;-
"2018/19";"Posavska";"Javna glasbena ?ola";18;96;96;1238;140
"2018/19";"Posavska";"Zasebna glasbena ?ola";-;-;-;-;-
"2018/19";"Jugovzhodna Slovenija";"Javna glasbena ?ola";14;64;20;1603;13
"2018/19";"Jugovzhodna Slovenija";"Zasebna glasbena ?ola";-;-;-;-;-
"2018/19";"Osrednjeslovenska";"Javna glasbena ?ola";95;292;211;4281;344
"2018/19";"Osrednjeslovenska";"Zasebna glasbena ?ola";9;92;-;791;-
"2018/19";"Gorenjska";"Javna glasbena ?ola";25;96;99;1762;168
"2018/19";"Gorenjska";"Zasebna glasbena ?ola";-;34;-;167;-
"2018/19";"Primorsko-notranjska";"Javna glasbena ?ola";26;67;31;816;38
"2018/19";"Primorsko-notranjska";"Zasebna glasbena ?ola";-;-;-;-;-
"2018/19";"Gori?ka";"Javna glasbena ?ola";26;101;71;1333;67
"2018/19";"Gori?ka";"Zasebna glasbena ?ola";-;-;-;-;-
"2018/19";"Obalno-kra?ka";"Javna glasbena ?ola";-;11;-;314;-
"2018/19";"Obalno-kra?ka";"Zasebna glasbena ?ola";-;-;-;-;-
