"Udeleženci programa glasba in ples po obèini zavoda in vrsti programa, Slovenija, letno"

"OBÈINA ZAVODA";"2016/17 Predšolska glasbena vzgoja";"2016/17 Glasbena pripravnica";"2016/17 Plesna pripravnica";"2016/17 Glasba";"2016/17 Ples";"2017/18 Predšolska glasbena vzgoja";"2017/18 Glasbena pripravnica";"2017/18 Plesna pripravnica";"2017/18 Glasba";"2017/18 Ples";"2018/19 Predšolska glasbena vzgoja";"2018/19 Glasbena pripravnica";"2018/19 Plesna pripravnica";"2018/19 Glasba";"2018/19 Ples"
"Ajdovšèina";6;29;25;255;27;6;29;6;265;23;7;27;20;268;15
"Bled";-;-;-;45;-;-;-;-;-;-;-;32;-;76;-
"Brežice";-;24;-;315;-;-;22;-;318;-;-;24;-;311;-
"Celje";-;-;-;-;-;16;56;11;613;-;11;56;6;618;-
"Cerklje na Gorenjskem";-;1;-;94;-;-;2;-;83;-;-;2;-;91;-
"Cerknica";10;26;-;260;-;10;17;-;258;-;8;18;-;261;-
"Èrnomelj";7;20;-;242;-;5;30;-;247;-;-;-;-;247;-
"Domžale";-;-;-;-;-;26;69;-;459;-;33;57;-;459;-
"Gornja Radgona";1;1;-;82;-;1;-;-;80;-;1;2;-;82;-
"Grosuplje";15;47;-;508;-;6;25;-;494;-;6;17;-;497;-
"Hrastnik";1;14;14;111;46;2;5;17;111;47;1;4;8;117;51
"Idrija";-;27;-;273;-;-;17;-;296;-;-;-;-;280;-
"Ilirska Bistrica";8;19;22;252;31;7;16;27;254;31;10;11;31;255;38
"Izola/Isola";9;24;6;186;6;8;12;-;184;6;-;-;-;-;-
"Jesenice";8;19;48;317;49;9;17;34;301;49;10;18;32;312;61
"Kamnik";5;22;19;407;37;-;-;5;304;23;-;15;50;357;30
"Koèevje";-;12;9;202;7;3;9;12;209;7;1;9;7;204;13
"Koper/Capodistria";42;133;-;1354;195;46;103;-;1377;188;-;-;-;-;-
"Kranj";30;52;34;515;53;-;28;36;475;57;-;29;34;507;63
"Krško";12;31;15;414;51;9;39;7;403;57;10;25;13;413;55
"Lendava/Lendva";-;-;-;233;29;-;12;14;230;30;-;-;15;228;27
"Litija";13;15;20;179;38;8;15;10;181;34;8;11;8;186;29
"Ljubljana";60;202;131;2851;219;73;273;124;2984;215;51;243;106;3128;220
"Ljutomer";-;7;29;233;39;-;9;25;241;40;-;7;19;230;32
"Logatec";-;22;20;250;28;8;19;21;256;29;5;30;21;264;37
"Maribor";17;99;104;1343;161;35;101;116;1355;178;19;92;115;1336;163
"Murska Sobota";7;12;4;360;1;10;20;34;371;58;11;37;25;381;48
"Muta";1;2;-;65;-;-;4;-;71;-;-;-;-;57;-
"Nazarje";7;5;29;212;22;2;7;24;205;29;2;10;23;206;35
"Nova Gorica";13;57;33;529;29;8;59;25;530;27;8;47;26;533;31
"Novo mesto";11;46;-;579;-;15;34;-;575;-;9;45;-;577;-
"Ormož";-;-;-;-;-;-;-;-;-;-;-;-;12;178;-
"Piran/Pirano";7;21;1;101;1;8;13;-;165;-;-;-;-;-;-
"Postojna";21;38;-;298;-;14;51;-;313;-;8;38;-;300;-
"Ptuj";5;30;53;466;49;21;27;48;627;50;18;15;39;614;60
"Radeèe";8;26;67;333;72;9;36;78;327;80;8;24;83;329;85
"Radovljica";26;14;-;372;-;15;15;11;365;-;5;20;19;405;2
"Ravne na Koroškem";-;25;-;324;-;-;22;-;323;-;-;33;-;318;-
"Ribnica";-;22;-;309;-;-;-;-;312;-;-;-;-;312;-
"Rogaška Slatina";6;16;1;275;11;2;11;15;275;8;3;5;17;282;3
"Sevnica";5;26;-;185;-;8;22;-;185;-;-;23;-;185;-
"Sežana";-;-;-;332;-;-;6;-;325;-;-;11;-;314;-
"Slovenj Gradec";9;26;15;280;13;6;26;19;279;16;5;25;13;278;22
"Slovenska Bistrica";14;82;52;328;52;-;64;40;333;46;-;61;41;335;48
"Slovenske Konjice";10;19;33;248;15;10;20;27;252;16;5;7;20;249;19
"Šentjur";-;20;-;307;-;-;18;-;308;-;6;14;-;312;-
"Škofja Loka";14;32;21;353;34;15;27;27;350;32;10;27;14;357;42
"Tolmin";-;37;23;246;33;-;14;19;219;27;11;27;25;252;21
"Trbovlje";9;11;26;226;18;8;19;36;227;25;15;15;32;238;26
"Trebnje";8;12;10;258;-;-;20;16;261;-;4;10;13;263;-
"Tržiè";-;5;-;183;-;-;11;-;181;-;-;2;-;181;-
"Velenje";-;-;-;-;-;14;53;49;704;54;12;55;43;715;56
"Vrhnika";10;27;40;370;41;8;19;35;370;49;9;22;34;367;57
"Zagorje ob Savi";12;23;57;196;45;20;24;69;201;48;10;30;74;196;68
"Žalec";7;21;33;421;28;7;19;41;417;36;4;20;39;421;41
